-87.52,134.76,-58.49
-88.28,130.88,-57.46
-90.01,128.55,-57.12
-91.69,126.2,-56.78
-92.18,122.33,-55.75
-94.3,120.7,-55.75
-95.8,118.31,-55.41
-97.85,116.62,-55.41
-99.26,114.18,-55.07
-100.6,111.73,-54.72
-102.54,109.96,-54.72
-103.79,107.48,-54.38
-105.65,105.65,-54.38
-106.8,103.14,-54.04
-107.9,100.62,-53.7
-108.94,98.09,-53.36
-108.51,94.32,-52.33
-102.94,86.38,-48.91
-92.02,74.51,-43.09
-82.93,64.8,-38.31
-70.54,53.16,-32.15
-43.33,31.48,-19.5
-25.4,17.79,-11.29
-23.37,15.76,-10.26
-23.64,15.35,-10.26
-23.91,14.94,-10.26
-24.16,14.52,-10.26
-24.41,14.1,-10.26
-24.66,13.67,-10.26
-24.89,13.23,-10.26
-25.12,12.8,-10.26
-25.34,12.36,-10.26
-25.55,11.91,-10.26
-25.75,11.47,-10.26
-25.95,11.02,-10.26
-26.14,10.56,-10.26
-26.32,10.1,-10.26
-26.49,9.64,-10.26
-26.65,9.18,-10.26
-26.81,8.71,-10.26
-26.96,8.24,-10.26
-27.1,7.77,-10.26
-27.23,7.3,-10.26
-27.35,6.82,-10.26
-27.47,6.34,-10.26
-27.57,5.86,-10.26
-27.67,5.38,-10.26
-27.76,4.9,-10.26
-27.84,4.41,-10.26
-27.92,3.92,-10.26
-27.98,3.44,-10.26
-28.04,2.95,-10.26
-28.08,2.46,-10.26
-28.12,1.97,-10.26
-28.15,1.48,-10.26
-28.17,0.98,-10.26
-28.19,0.49,-10.26
-28.37,0.0,-9.77
-28.36,0.5,-9.77
-28.35,0.99,-9.77
-28.33,1.48,-9.77
-28.3,1.98,-9.77
-28.26,2.47,-9.77
-28.21,2.97,-9.77
-28.15,3.46,-9.77
-28.09,3.95,-9.77
-28.02,4.44,-9.77
-27.93,4.93,-9.77
-27.84,5.41,-9.77
-27.75,5.9,-9.77
-27.64,6.38,-9.77
-27.52,6.86,-9.77
-27.4,7.34,-9.77
-27.27,7.82,-9.77
-27.13,8.29,-9.77
-26.98,8.77,-9.77
-26.82,9.23,-9.77
-26.65,9.7,-9.77
-26.48,10.17,-9.77
-26.3,10.63,-9.77
-26.11,11.08,-9.77
-25.91,11.54,-9.77
-25.71,11.99,-9.77
-25.49,12.43,-9.77
-25.27,12.88,-9.77
-25.05,13.32,-9.77
-24.81,13.75,-9.77
-24.57,14.18,-9.77
-24.31,14.61,-9.77
-24.06,15.03,-9.77
-23.79,15.45,-9.77
-23.52,15.86,-9.77
-23.24,16.27,-9.77
-22.95,16.67,-9.77
-22.65,17.07,-9.77
-22.35,17.46,-9.77
-22.04,17.85,-9.77
-26.8,22.49,-12.05
-44.24,38.46,-20.19
-62.54,56.31,-28.98
-79.52,74.16,-37.44
-86.38,83.42,-41.35
-94.27,94.27,-45.91
-93.92,97.26,-46.56
-92.86,99.58,-46.88
-92.37,102.59,-47.53
-90.57,104.18,-47.53
-88.73,105.75,-47.53
-87.47,108.02,-47.86
-85.57,109.53,-47.86
-84.22,111.76,-48.18
-82.81,113.98,-48.51
-80.81,115.4,-48.51
-79.31,117.58,-48.84
-77.76,119.74,-49.16
-75.66,121.08,-49.16
-74.02,123.19,-49.49
-72.8,126.1,-50.14
-71.97,129.83,-51.11
-71.02,133.57,-52.09
-68.68,134.79,-52.09
-68.39,140.22,-53.72
-73.92,158.53,-60.23
-72.3,162.39,-61.21
-69.46,163.63,-61.21
-60.21,149.03,-55.35
-56.93,148.3,-54.7
-54.33,149.27,-54.7
-51.41,149.3,-54.37
-47.63,146.58,-53.07
-45.06,147.39,-53.07
-42.22,147.24,-52.74
-39.64,147.95,-52.74
